id,source_image,mask_image,prompt,detailed_prompt,fill_color,mask_type
nervousman_shave,d3e9aa10856381a4.jpg,37bba75350eb7416.mask.png,shave off his beard,shave off his beard but leave is mustache,"154,127,115",outline
weatheredbuilding_corner_repair,883602fb162b95f0.jpg,8d55e4f62583df2a.mask.png,repair the paint,repair the paint only on the corner,"147,84,45",mostlygrey
oceansteps_wooden,d7b688f57be57155.jpg,b7dc139f035dbadf.mask.png,wooden boards make a walkway and dock,wooden boards make a walkway and dock,"166,162,152",outline
weatheredbuilding_above_repair,883602fb162b95f0.jpg,85b6eda844b26552.mask.png,repair the paint,repair the paint only above the windows,"160,113,73",mostlygrey
baldman_hair,48c58007bed4361f.jpg,e6b990a02fca3123.mask.png,stylish long hair,stylish long hair down the right side of his head,"15,14,14",outline
oceancliffs_arch,9935e0d1298f6802.jpg,832d315dad4ccc6a.mask.png,natural stone arch extending out from the cliff face,natural stone arch extending out from the cliff face,"60,96,102",outline
grassyslope_stream,212a8735dc8ad5ce.jpg,ff16b7287ac66088.mask.png,"a stream running down the mountainside, flanked by bushes and trees","a stream running down the near mountainside, flanked by bushes and trees","106,104,79",outline
icecream_chocolate,a2679e0755e31bcf.jpg,2bcfac33a752126f.mask.png,chocolate flavored with brownie chunks,chocolate flavored with brownie chunks on the left,"155,143,137",outline
lighthouse_beam,260291d9ad730186.jpg,df8aeaf865e38e46.mask.png,shooting a magical beam of light,shooting a magical beam of light aims out across the ocean,"154,189,200",outline
icecream_strawberry,32ce4a175409fc34.jpg,a94c07d2c4293403.mask.png,strawberry flavored,strawberry flavored on the right,"196,38,49",outline
bogota_river,bf9ed2d294dce7f7.jpg,a0998c41d7ab6910.mask.png,a river cuts through the city,a river cuts through the city,"75,106,120",outline
closeupman_stripes_rainbow,517c7dbade7c707b.jpg,248bba1062aadafa.mask.png,rainbow facepaint stripes,rainbow facepaint stripes,"113,83,65",outline
